Account Name,Type,18 Digit ID,Account ID,LE ID,Artist Name (pka or dba),Company Name,Legal Name,Primary Contact First Name,Primary Contact Last Name
SPACE914,Artist,001PP00000mKpmCYAS,001PP00000mKpmC,,SPACE914,,Jace Yaverbaum,,
Sevdaliza,Artist,001PP00000mLHDdYAO,001PP00000mLHDd,,Sevdaliza,,Sevda Alizadeh,,
Talinwya,Artist,001PP00000mLKeSYAW,001PP00000mLKeS,,Talinwya,,Talin Cooper,,
Oodaredevil,Artist,001PP00000mRNpzYAG,001PP00000mRNpz,,Oodaredevil,,Mark Walker,,
Weezy Corleone 5L,Artist,001PP00000mSWnnYAG,001PP00000mSWnn,,Weezy Corleone 5L,,Wayne West,,
Proper Business ENT LLC,Record Label,001PP00000mSdxGYAS,001PP00000mSdxG,,,Proper Business ENT LLC,,,
Boguard Music Group,Division,001PP00000maaNwYAI,001PP00000maaNw,,,"Boguard Music Group, LLC",,,
ev7n,Producer,001PP00000mbFeNYAU,001PP00000mbFeN,,ev7n,,Evan Heckman,,
Krewella,Band,001PP00000mbpmIYAQ,001PP00000mbpmI,,,,,,
Lil Suave,Artist,001PP00000mbrrLYAQ,001PP00000mbrrL,,Lil Suave,,Francisco Velez,,
All Things Blue,Artist,001PP00000meePlYAI,001PP00000meePl,,All Things Blue,,India Coombs Esmail,,
Belted Sweater,Artist,001PP00000meePmYAI,001PP00000meePm,,Belted Sweater,,Christopher Gregory,,
Big Daddy,Artist,001PP00000meePnYAI,001PP00000meePn,,Big Daddy,,Emilie Kahn,,
Big Daddy,Artist,001PP00000meePoYAI,001PP00000meePo,,Big Daddy,,Mackenzie Mosteller,,
boy Milestone,Artist,001PP00000meePpYAI,001PP00000meePp,,boy Milestone,,Jacqueline Milestone,,
CD Ghost,Artist,001PP00000meePqYAI,001PP00000meePq,,CD Ghost,,Blake Dimas,,
Fashion Jackson,Artist,001PP00000meePrYAI,001PP00000meePr,,Fashion Jackson,,Sterling Gietzen,,
Foyer Red,Artist,001PP00000meePsYAI,001PP00000meePs,,Foyer Red,,Marco Ocampo,,
Frost Children,Artist,001PP00000meePtYAI,001PP00000meePt,,Frost Children,,David Prost,,
